"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000376213","KIAA1683",NA
"9606.ENSP00000464271","ENSG00000265690",NA
"9606.ENSP00000472357","FLJ00297","1"
"9606.ENSP00000007390","TSR3","29974"
"9606.ENSP00000000233","ARF5","2"
"9606.ENSP00000259467","PDCL","144568"
"9606.ENSP00000006275","TRAPPC6A","53947"
"9606.ENSP00000006526","WDR54","51146"
"9606.ENSP00000006658","SPATA20","8086"
"9606.ENSP00000006724","CEACAM7","65985"
"9606.ENSP00000000412","M6PR","13"
"9606.ENSP00000000442","ESRRA","344752"
"9606.ENSP00000001008","FKBP4","126767"
"9606.ENSP00000001146","CYP26B1","343066"
"9606.ENSP00000002125","NDUFAF7","51166"
"9606.ENSP00000002165","FUCA2","195827"
"9606.ENSP00000002596","HS3ST1","79719"
"9606.ENSP00000002829","SEMA3F","22848"
"9606.ENSP00000003084","CFTR","28971"
"9606.ENSP00000003100","CYP51A1","14"
"9606.ENSP00000006777","RHBDD2","15"
"9606.ENSP00000007264","RPUSD1","25980"
"9606.ENSP00000259469","RPL35","441376"
"9606.ENSP00000003302","USP28","16"
"9606.ENSP00000004103","TMEM176A","57505"
"9606.ENSP00000004531","SLC7A2","80755"
"9606.ENSP00000004921","CCL18","132949"
"9606.ENSP00000004982","HSPB6","60496"
"9606.ENSP00000005178","PDK4","10157"
"9606.ENSP00000005180","CCL26","26574"
"9606.ENSP00000005226","USH1C","9625"
"9606.ENSP00000005257","RALA","18"
"9606.ENSP00000005260","BAIAP2L1","19"
"9606.ENSP00000005284","CACNG3","10349"
"9606.ENSP00000005286","TMEM132A","26154"
"9606.ENSP00000005340","DVL2","154664"
"9606.ENSP00000005386","RPAP3","20"
"9606.ENSP00000005558","IFRD1","21"
"9606.ENSP00000005587","SKAP2","24"
"9606.ENSP00000005905","KIAA0100","23461"
"9606.ENSP00000005995","PRSS21","23460"
"9606.ENSP00000006015","HOXA11","10347"
"9606.ENSP00000006053","CX3CL1","10351"
"9606.ENSP00000006101","COPZ2","10350"
"9606.ENSP00000007414","OSBPL7","5243"
"9606.ENSP00000007516","NDUFAB1","23456"
