"node","cluster"
"207221_at",1
"218832_x_at",1
"221861_at",1
"43511_s_at",1
"49111_at",1
"207584_at",2
"202067_s_at",2
"202068_s_at",2
"217005_at",2
"217103_at",2
"217173_s_at",2
"212540_at",3
"206607_at",3
"210024_s_at",3
"210746_s_at",4
"211560_s_at",4
"206834_at",4
"210587_at",5
"209908_s_at",5
"209909_s_at",5
"220406_at",5
"220407_s_at",5
"205755_at",5
"202366_at",6
"201509_at",6
"210014_x_at",6
"210418_s_at",6
"210803_at",6
"211177_s_at",6
"208267_at",7
"204253_s_at",7
"204254_s_at",7
"204255_s_at",7
"213692_s_at",7
"221413_at",8
"211045_s_at",8
"211046_at",8
"221023_s_at",8
"206607_at",9
"206660_at",9
"205297_s_at",9
"220638_s_at",9
"204229_at",10
"204230_s_at",10
"209990_s_at",10
"209991_x_at",10
"211679_x_at",10
"217077_s_at",10
"209531_at",11
"203113_s_at",11
"213087_s_at",11
"214394_x_at",11
"214395_x_at",11
"201480_s_at",11
"214457_at",12
"206724_at",12
"214644_at",12
"207226_at",12
"201480_s_at",12
"220570_at",13
"202949_s_at",13
"214732_at",13
"204253_s_at",13
"204254_s_at",13
"204255_s_at",13
"213692_s_at",13
"206789_s_at",13
"203920_at",13
"200991_s_at",14
"206607_at",14
"214515_at",14
"203920_at",14
"218832_x_at",14
"221861_at",14
"43511_s_at",14
"49111_at",14
"202067_s_at",14
"202068_s_at",14
"217005_at",14
"217103_at",14
"217173_s_at",14
"201387_s_at",15
"207618_s_at",15
"213240_s_at",15
"214399_s_at",15
"220185_at",16
"220636_at",16
"221668_s_at",16
"205155_s_at",16
"205348_s_at",16
"207634_at",16
"208894_at",16
"210982_s_at",16
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"202847_at",9999
"203948_s_at",9999
"203949_at",9999
"204175_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206479_at",9999
"206743_s_at",9999
"208260_at",9999
"209832_s_at",9999
"210300_at",9999
"210328_at",9999
"211916_s_at",9999
"212767_at",9999
"214410_at",9999
"214436_at",9999
"216952_s_at",9999
"219431_at",9999
"219441_s_at",9999
"220496_at",9999
