"node","cluster"
"202366_at",1
"201509_at",1
"210014_x_at",1
"210418_s_at",1
"210803_at",1
"211177_s_at",1
"210587_at",2
"209908_s_at",2
"209909_s_at",2
"220406_at",2
"220407_s_at",2
"205755_at",2
"207221_at",3
"218832_x_at",3
"221861_at",3
"43511_s_at",3
"49111_at",3
"214515_at",4
"218832_x_at",4
"221861_at",4
"43511_s_at",4
"49111_at",4
"210746_s_at",5
"211560_s_at",5
"206834_at",5
"210328_at",5
"202949_s_at",6
"214732_at",6
"204253_s_at",6
"204254_s_at",6
"204255_s_at",6
"213692_s_at",6
"206789_s_at",6
"203920_at",6
"220185_at",7
"220636_at",7
"221668_s_at",7
"205155_s_at",7
"205348_s_at",7
"208894_at",7
"210982_s_at",7
"208267_at",8
"206479_at",8
"214410_at",8
"204253_s_at",8
"204254_s_at",8
"204255_s_at",8
"213692_s_at",8
"212540_at",9
"206607_at",9
"210024_s_at",9
"214436_at",9
"205297_s_at",9
"220638_s_at",9
"201387_s_at",10
"207618_s_at",10
"213240_s_at",10
"214399_s_at",10
"210300_at",11
"209531_at",11
"203948_s_at",11
"203949_at",11
"209531_at",12
"214457_at",12
"206724_at",12
"214644_at",12
"207226_at",12
"203113_s_at",12
"213087_s_at",12
"214394_x_at",12
"214395_x_at",12
"201480_s_at",12
"200991_s_at",13
"206607_at",13
"207584_at",13
"203920_at",13
"218832_x_at",13
"221861_at",13
"43511_s_at",13
"49111_at",13
"202067_s_at",13
"202068_s_at",13
"217005_at",13
"217103_at",13
"217173_s_at",13
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"204175_at",9999
"204229_at",9999
"204230_s_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206660_at",9999
"206743_s_at",9999
"207634_at",9999
"208260_at",9999
"209832_s_at",9999
"209990_s_at",9999
"209991_x_at",9999
"211045_s_at",9999
"211046_at",9999
"211679_x_at",9999
"212767_at",9999
"216952_s_at",9999
"217077_s_at",9999
"219431_at",9999
"219441_s_at",9999
"220496_at",9999
"221023_s_at",9999
"221413_at",9999
