"symbol1"	"symbol2"	"BP"
"ABCA4"	"ABCB11"	0.336
"ACADS"	"SAMM50"	0.034
"ALAS2"	"HBD"	0.24
"ALAS2"	"GNMT"	0.181
"ARRB1"	"GNMT"	0.182
"BCS1L"	"SAMM50"	0.51
"CBL"	"CD79B"	0.192
"CDC34"	"FBXL2"	0.305
"CHRM1"	"LAMB2"	0.063
"CHRM1"	"SP1"	0.18
"CHRM1"	"F2RL3"	0.279
"DYNC1I1"	"SPTBN2"	0.39
"DYNC1I1"	"RILP"	0.247
"IDH3B"	"PYCR1"	0.35
"IDH3B"	"SAMM50"	0.034
"IRAK2"	"PELI3"	0.317
"LDLR"	"SNX17"	0.24
"MYO1A"	"RAC3"	0.035
"POU2F1"	"SP1"	0.317
"POU2F1"	"VDR"	0.219
"PYCR1"	"SUPT5H"	0.188
"PYCR1"	"ADSSL1"	0.188
"RAC3"	"NRBP1"	0.147
"RAC3"	"CLEC1B"	0.112
"RAC3"	"PLEKHG5"	0.22
"RAC3"	"ARHGAP10"	0.273
"SPTBN2"	"SPTBN4"	0.308
"SPTBN2"	"RILP"	0.318
"UCHL1"	"HIST1H2BN"	0.216
"HIST1H2AK"	"HIST1H2BN"	0.373
"OR1E1"	"OR1J2"	0.349
"OR1E1"	"OR5C1"	0.407
"LY6D"	"ABCB11"	NA
"MAP3K14"	"PELI3"	0.261
"TXNRD2"	"SAMM50"	0.029
"SLC35D2"	"B3GNT7"	0.559
"OR1J2"	"OR5C1"	0.349
"DGCR8"	"CDT1"	0.222
"PLEKHG5"	"ARHGAP10"	0.293
"CDT1"	"LMNB2"	NA
"DERL3"	"SERINC5"	0.198
