"symbol1"	"symbol2"	"MF"
"REM1"	"GSTZ1"	0.531
"REM1"	"LRRC24"	NA
"REM1"	"ISLR2"	NA
"REM1"	"LRRK1"	0.531
"REM1"	"PLEKHG5"	0.18
"REM1"	"LRRC38"	0.075
"CDC34"	"UBE2E3"	1
"CDC34"	"FBXL2"	0.801
"CDC34"	"CBL"	0.759
"CDC34"	"UBL4B"	1
"CDC34"	"ZNRF3"	0.875
"GSTZ1"	"EEF1D"	0.499
"GSTZ1"	"MPO"	0.403
"PCK2"	"CRTC2"	0.465
"PCK2"	"RETN"	NA
"SLC17A7"	"GABBR2"	0.143
"AMH"	"INHBE"	0.757
"RETN"	"SP1"	NA
"HOXA2"	"HIST1H2BN"	0.824
"SNX17"	"LDLR"	0.53
"TBX4"	"DUX4"	0.807
"ACADS"	"TXNRD2"	0.141
"F2RL3"	"ARRB1"	0.541
"F2RL3"	"AVPR1B"	0.559
"F2RL3"	"CHRM1"	1
"SHFM1"	"FHL2"	NA
"SHFM1"	"DYNC1I1"	NA
"SHFM1"	"NFKBIE"	NA
"IRAK2"	"PELI3"	0.846
"ITIH5"	"KIAA1549"	NA
"ADAMTS8"	"ADAMTS15"	NA
"USP37"	"UBL4B"	1
"USP37"	"RHPN1"	1
"DPEP1"	"SAMM50"	1
"DGCR8"	"CDT1"	0.61
"SPTBN4"	"SPTBN2"	0.606
"SPTBN4"	"DYNC1I1"	0.613
"SPTBN4"	"CABP4"	0.257
"CBL"	"UBE2E3"	0.759
"CBL"	"LDLR"	0.51
"CBL"	"ARRB1"	0.552
"CBL"	"CD79B"	0.629
"CBL"	"CBLC"	0.698
"TRPV5"	"TRPM1"	1
"TRPV5"	"VDR"	0.454
"MAD1L1"	"PMF1"	0.615
"MAD1L1"	"CENPH"	0.954
"INHBE"	"BMPER"	NA
"INHBE"	"TGFB2"	0.686
"ASGR1"	"CLEC1B"	1
"ASGR1"	"ITIH3"	1
"CBX4"	"HIST1H2BN"	0.741
"NFKBIE"	"CARD11"	1
"CENPH"	"HIST1H2BN"	0.741
"CENPH"	"PMF1"	0.584
"UCHL1"	"BCS1L"	1
"UCHL1"	"KRT4"	1
"MYO1A"	"RAC3"	NA
"MYO1A"	"CABP4"	NA
"EPB42"	"ALAS2"	0.583
"EPB42"	"HBD"	0.527
"CDT1"	"LMNB2"	1
"RILP"	"HLA-DRA"	0.544
"RILP"	"SPTBN2"	0.61
"RILP"	"DYNC1I1"	0.528
"KCNAB3"	"KCNH6"	0
"RAC3"	"PLEKHG5"	0.428
"RAC3"	"ARHGAP10"	0.65
"CHRM1"	"AVPR1B"	0.254
"CHRM1"	"ARRB1"	0.223
"CHRM1"	"SP1"	0.233
"CHRM1"	"LAMB2"	0.113
"DNAI2"	"DYNC1I1"	0.921
"BRSK1"	"RIMS2"	0.414
"SPTBN2"	"DYNC1I1"	0.218
"SPTBN2"	"CABP4"	0.152
"SPTBN2"	"HLA-DRA"	0.309
"OR1E1"	"ARRB1"	0.449
"DYNC1I1"	"HLA-DRA"	0.446
"LPA"	"LDLR"	0.469
"FHL2"	"SP1"	0.691
"CABP4"	"UBL4B"	0.587
"CABP4"	"CACNA1E"	0.042
"IGLL1"	"CD79B"	0.411
"SP1"	"VDR"	0.743
"SP1"	"POU2F1"	0.806
"SP1"	"NR1H3"	0.808
"HIST1H2AK"	"HIST1H2BN"	1
"ALAS2"	"GNMT"	0.676
"ALAS2"	"HBD"	0.538
"UBL4B"	"UBE2E3"	1
"PDCD1"	"HLA-DRA"	1
"OR1J2"	"ARRB1"	NA
"SAMM50"	"STK32A"	0.521
"TGFB2"	"ITIH3"	0.619
"DNTTIP1"	"WIBG"	NA
"OR5C1"	"ARRB1"	0.171
"ZNF593"	"MTG1"	0.437
"IDH3B"	"TXNRD2"	0.344
"LRRK1"	"CARD11"	0.646
"UBE2E3"	"ZNRF3"	0.875
"CD79B"	"CARD11"	0.632
"HIST1H2BN"	"SUPT5H"	0.869
"NR1H3"	"LDLR"	0.506
"EEF1D"	"SUPT5H"	0.765
"ARRB1"	"LDLR"	0.491
"ARRB1"	"OR7G1"	0.449
