"node","cluster"
"201387_s_at",1
"207618_s_at",1
"213240_s_at",1
"214399_s_at",1
"207221_at",2
"218832_x_at",2
"221861_at",2
"43511_s_at",2
"49111_at",2
"214515_at",3
"218832_x_at",3
"221861_at",3
"43511_s_at",3
"49111_at",3
"202949_s_at",4
"214732_at",4
"204253_s_at",4
"204254_s_at",4
"204255_s_at",4
"213692_s_at",4
"206789_s_at",4
"203920_at",4
"209531_at",5
"203113_s_at",5
"213087_s_at",5
"214394_x_at",5
"214395_x_at",5
"201480_s_at",5
"210746_s_at",6
"211560_s_at",6
"206834_at",6
"210328_at",6
"214457_at",7
"206724_at",7
"214644_at",7
"207226_at",7
"201480_s_at",7
"202366_at",8
"201509_at",8
"210014_x_at",8
"210418_s_at",8
"210803_at",8
"211177_s_at",8
"208267_at",9
"206479_at",9
"214410_at",9
"204253_s_at",9
"204254_s_at",9
"204255_s_at",9
"213692_s_at",9
"212540_at",10
"206607_at",10
"210024_s_at",10
"214436_at",10
"205297_s_at",10
"220638_s_at",10
"210587_at",11
"206743_s_at",11
"209908_s_at",11
"209909_s_at",11
"220406_at",11
"220407_s_at",11
"220496_at",11
"205755_at",11
"210300_at",12
"209531_at",12
"203948_s_at",12
"203949_at",12
"200991_s_at",13
"206607_at",13
"207584_at",13
"203920_at",13
"218832_x_at",13
"221861_at",13
"43511_s_at",13
"49111_at",13
"202067_s_at",13
"202068_s_at",13
"217005_at",13
"217103_at",13
"217173_s_at",13
"220185_at",14
"220636_at",14
"221668_s_at",14
"205155_s_at",14
"205348_s_at",14
"207634_at",14
"208894_at",14
"210982_s_at",14
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"204175_at",9999
"204229_at",9999
"204230_s_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206660_at",9999
"208260_at",9999
"209832_s_at",9999
"209990_s_at",9999
"209991_x_at",9999
"211045_s_at",9999
"211046_at",9999
"211679_x_at",9999
"212767_at",9999
"216952_s_at",9999
"217077_s_at",9999
"219431_at",9999
"219441_s_at",9999
"221023_s_at",9999
"221413_at",9999
