"node","cluster"
"F2RL3",1
"CHRM1",1
"AVPR1B",1
"MAD1L1",2
"CENPH",2
"PMF1",2
"EPB42",3
"ALAS2",3
"HBD",3
"CBL",4
"ARRB1",4
"LDLR",4
"HOXA2",5
"HIST1H2AK",5
"HIST1H2BN",5
"SUPT5H",5
"CDC34",6
"CBL",6
"UBL4B",6
"UBE2E3",6
"ZNRF3",6
"NFKBIE",7
"LRRK1",7
"CD79B",7
"CARD11",7
"FHL2",8
"SP1",8
"VDR",8
"POU2F1",8
"NR1H3",8
"SPTBN4",9
"RILP",9
"SPTBN2",9
"DYNC1I1",9
"HLA-DRA",9
"ACADS",9999
"AMH",9999
"ARHGAP10",9999
"ASGR1",9999
"BCS1L",9999
"BRSK1",9999
"CABP4",9999
"CACNA1E",9999
"CBLC",9999
"CBX4",9999
"CDT1",9999
"CLEC1B",9999
"CRTC2",9999
"DGCR8",9999
"DNAI2",9999
"DPEP1",9999
"DUX4",9999
"EEF1D",9999
"FBXL2",9999
"GABBR2",9999
"GNMT",9999
"GSTZ1",9999
"IDH3B",9999
"IGLL1",9999
"INHBE",9999
"IRAK2",9999
"ITIH3",9999
"KCNAB3",9999
"KCNH6",9999
"KRT4",9999
"LAMB2",9999
"LMNB2",9999
"LPA",9999
"LRRC38",9999
"MPO",9999
"MTG1",9999
"OR1E1",9999
"OR5C1",9999
"OR7G1",9999
"PCK2",9999
"PDCD1",9999
"PELI3",9999
"PLEKHG5",9999
"RAC3",9999
"REM1",9999
"RHPN1",9999
"RIMS2",9999
"SAMM50",9999
"SLC17A7",9999
"SNX17",9999
"STK32A",9999
"TBX4",9999
"TGFB2",9999
"TRPM1",9999
"TRPV5",9999
"TXNRD2",9999
"UCHL1",9999
"USP37",9999
"ZNF593",9999
