"node","cluster"
"PCK2",1
"TBX4",1
"IRAK2",1
"USP37",1
"DPEP1",1
"TRPV5",1
"MAD1L1",1
"ASGR1",1
"UCHL1",1
"CDT1",1
"BRSK1",1
"SP1",1
"SAMM50",1
"MPO",1
"CRTC2",1
"LDLR",1
"DUX4",1
"TXNRD2",1
"PELI3",1
"TRPM1",1
"HLA-DRA",1
"RIMS2",1
"CDC34",2
"UBL4B",2
"UBE2E3",2
"ARRB1",2
"FBXL2",2
"ZNRF3",2
"RHPN1",2
"CBLC",2
"GSTZ1",3
"LRRC38",3
"F2RL3",4
"CHRM1",4
"AVPR1B",4
"DGCR8",5
"LMNB2",5
"SNX17",6
"CBL",6
"LPA",6
"OR5C1",6
"INHBE",7
"CLEC1B",7
"ITIH3",7
"CENPH",8
"PMF1",8
"REM1",9
"RAC3",9
"SPTBN4",10
"RILP",10
"DNAI2",10
"SPTBN2",11
"DYNC1I1",11
"CABP4",11
"PDCD1",11
"EPB42",12
"ALAS2",12
"AMH",13
"TGFB2",13
"ACADS",14
"IDH3B",14
"NFKBIE",15
"LRRK1",15
"CD79B",15
"HIST1H2BN",16
"EEF1D",16
"FHL2",17
"NR1H3",17
"VDR",17
"POU2F1",17
"PLEKHG5",18
"ARHGAP10",18
"IGLL1",19
"CARD11",19
"BCS1L",20
"KRT4",20
"HBD",21
"GNMT",21
"HOXA2",22
"CBX4",22
"HIST1H2AK",22
"SUPT5H",22
