"node","cluster"
"PELI3",1
"MAP3K14",1
"SAMM50",2
"BCS1L",2
"TXNRD2",2
"ABCA4",0
"ABCB11",0
"ACADS",0
"ADSSL1",0
"ALAS2",0
"ARHGAP10",0
"ARRB1",0
"B3GNT7",0
"CBL",0
"CD79B",0
"CDC34",0
"CDT1",0
"CHRM1",0
"CLEC1B",0
"DERL3",0
"DGCR8",0
"DYNC1I1",0
"F2RL3",0
"FBXL2",0
"GNMT",0
"HBD",0
"HIST1H2AK",0
"HIST1H2BN",0
"IDH3B",0
"IRAK2",0
"LAMB2",0
"LDLR",0
"LMNB2",0
"NRBP1",0
"OR1E1",0
"OR5C1",0
"PLEKHG5",0
"POU2F1",0
"PYCR1",0
"RAC3",0
"RILP",0
"SERINC5",0
"SLC35D2",0
"SNX17",0
"SP1",0
"SPTBN2",0
"SPTBN4",0
"SUPT5H",0
"UCHL1",0
"VDR",0
