"node","cluster"
"RPL4",1
"RPLP2",1
"RPL27A",1
"RPL37",1
"RPL37A",1
"RPL8",1
"RPL15",1
"RPL18",1
"RPL32",1
"RPL41",1
"RPL35",1
"RPS23",1
"RPS21",1
"RPS2",1
"RPL14",1
"RPL7",1
"RPS9",1
"RPLP0",1
"RPL13A",1
"RPL30",1
"RPL10",1
"GSPT2",1
"HARS2",1
"EEF2",1
"EIF4A2",1
"RPL11",1
"MRPL16",1
"MRPS12",1
"MRPL17",1
"MRPL21",1
"PSMA4",2
"PSMB4",2
"PSMA7",2
"CLPP",2
"PSMC4",2
"PSME4",2
"ANAPC2",2
"RPN1",2
"PCBP1",2
"HDAC3",3
"HIST1H2AA",3
"HIST1H2AC",3
"PRMT5",3
"TUBB",4
"DYNC1H1",4
"PPAN",4
"TUBGCP2",4
"AKT1",5
"SERPINB5",5
"POLR2L",6
"GTF2H4",6
"XAB2",6
"GTF2F1",6
"CPSF1",6
"SF3A2",6
"FRG1",6
"LSM2",6
"PCBP2",6
"MUS81",6
"FTSJ3",6
"PAF1",6
"STAT3",7
"KPNA6",7
"PPIB",8
"TBCA",8
"NUDC",8
"CSNK2B",9
"GNB1",9
"GNB2",9
"SH3GL1",9
"NPM1",10
"NPM3",10
"NDUFV1",11
"NDUFB11",11
"NDUFA3",11
"NDUFB7",11
"NDUFB10",11
"NDUFS7",11
"COX5A",11
"UQCRQ",11
"UQCRC2",11
"COX7C",11
"COX7A2L",11
"SDHC",11
"MDH2",11
"PLK1",12
"ZBED1",12
"MARS",12
"RAB5C",13
"RAB5B",13
"SMAP1",13
"YIF1B",13
"RAB11B",13
"ARF1",13
"CRK",14
"VAV1",14
"SOCS1",14
"SIN3B",15
"KLF16",15
"SOS1",16
"CTF1",16
"IL6R",16
"TIMM13",17
"SEC61A1",17
"ASNA1",17
"MYBBP1A",18
"EIF4G3",18
"ZNF598",18
"HLA-DRB1",19
"HLA-DRA",19
"HLA-DMA",19
"IFI30",19
"ARPC1B",20
"ARPC4",20
"ARPC5",20
"ARHGAP17",21
"RHOBTB1",21
"RHOG",21
"FGD3",21
"RHOT2",21
"ARHGEF16",21
"MTA1",22
"SAP30",22
"HCFC1",22
"SUDS3",22
"MTA2",22
"TPM2",23
"TNNI2",23
"TNNT3",23
"TNNI1",23
"MYL3",23
"MYL2",23
"TCAP",23
"RIPK1",24
"TNF",24
"HINT1",25
"FHIT",25
"ADCY1",26
"GNAI2",26
"GABARAP",27
"SQSTM1",27
"IRF2",28
"IRF7",28
"IRF3",28
"EGR1",28
"ADAR",28
"EXOSC5",29
"EXOSC3",29
"EXOSC7",29
"MPHOSPH6",29
"KHSRP",29
"P2RY11",30
"GNL1",30
"NFKB2",31
"RELB",31
"BCL3",31
"IGF2R",32
"LAMP1",32
"UGP2",33
"GYS1",33
"PIAS1",34
"CEBPA",34
"STK11",35
"USP11",35
"HBE1",36
"HBD",36
"HBQ1",36
"HBZ",36
"PLCB3",37
"UTS2R",37
"PLCB2",37
"CNDP2",38
"GSS",38
"GCLM",38
"BAD",39
"BBC3",39
"BID",39
"MCL1",39
"ACTA2",40
"ACTA1",40
"SPI1",41
"GATA2",41
"ZFPM1",41
"IDH2",42
"PEPD",42
"HTR4",43
"SCTR",43
"ADM2",43
"FSHR",43
"FAU",44
"MRPS24",44
"USP22",45
"ATXN7L3",45
"ATP6V1F",46
"ATP6AP1",46
"CYBA",47
"CD68",47
"SMARCD3",48
"NR5A1",48
"UNG",49
"APEX2",49
"OR5A2",50
"OR4C46",50
"OR1M1",50
"FGF8",51
"GBX2",51
"DDA1",52
"WDTC1",52
"PNMT",53
"DBH",53
"COMT",53
"TNFRSF13B",54
"TNFSF13",54
"NPY",55
"GRM4",55
"NPW",55
"ABCA7",-1
"ACAD9",-1
"ACHE",-1
"ACP5",-1
"ACTN4",-1
"ADAM15",-1
"ADAMTS13",-1
"AGPAT1",-1
"ALAS2",-1
"ALKBH7",-1
"ALOX5AP",-1
"ALX4",-1
"AMBP",-1
"ANP32E",-1
"ANXA11",-1
"ANXA5",-1
"AP2A1",-1
"APLP1",-1
"ARFRP1",-1
"ARHGAP9",-1
"ARRB2",-1
"ASIP",-1
"ASL",-1
"BATF",-1
"BAZ1B",-1
"BET1L",-1
"BIN2",-1
"BRI3",-1
"BRSK1",-1
"BST2",-1
"C8G",-1
"CAB39",-1
"CACNA1A",-1
"CACNA2D4",-1
"CALML5",-1
"CAMK2A",-1
"CAMKK2",-1
"CCS",-1
"CD22",-1
"CD53",-1
"CD63",-1
"CD7",-1
"CD72",-1
"CD79A",-1
"CDA",-1
"CDC25A",-1
"CENPH",-1
"CES2",-1
"CHCHD2",-1
"CHCHD4",-1
"CHDH",-1
"CHRNG",-1
"CHTF18",-1
"CKS1B",-1
"CLCN7",-1
"CLSTN3",-1
"CNTFR",-1
"CNTROB",-1
"CPE",-1
"CRTAP",-1
"CSF3R",-1
"CSK",-1
"CSNK1E",-1
"CTNNBL1",-1
"CTSL",-1
"CXCR4",-1
"CYGB",-1
"CYP4A11",-1
"DAXX",-1
"DBP",-1
"DCXR",-1
"DDOST",-1
"DDX11",-1
"DGCR6",-1
"DHRS7B",-1
"DHX30",-1
"DIRAS3",-1
"DLX5",-1
"DNAJB2",-1
"DNAJC5",-1
"DNAJC9",-1
"DNM2",-1
"DPH5",-1
"DRAP1",-1
"DTX3L",-1
"DUSP23",-1
"DYNC1LI1",-1
"DYRK1B",-1
"DYRK2",-1
"ECE1",-1
"ECHS1",-1
"EEF1G",-1
"EFS",-1
"EIF4EBP1",-1
"EIF5A",-1
"ELF4",-1
"EMD",-1
"ENTPD2",-1
"ENTPD4",-1
"EPHB3",-1
"EXT2",-1
"F11R",-1
"FADS2",-1
"FADS3",-1
"FANCG",-1
"FASTK",-1
"FATE1",-1
"FFAR2",-1
"FIS1",-1
"FOXH1",-1
"FOXK1",-1
"FOXM1",-1
"FRS3",-1
"FTL",-1
"GDF15",-1
"GEMIN4",-1
"GEMIN7",-1
"GGT1",-1
"GIT1",-1
"GJA8",-1
"GLUD2",-1
"GP9",-1
"GRN",-1
"GSTM1",-1
"H2AFY",-1
"HAND1",-1
"HCK",-1
"HK3",-1
"HLA-DQA2",-1
"HLA-G",-1
"HMGN2",-1
"HOXC4",-1
"HRAS",-1
"HRK",-1
"HSPB1",-1
"HSPBP1",-1
"HTR3A",-1
"IFIT2",-1
"IL13",-1
"IL32",-1
"IL7R",-1
"INCENP",-1
"INVS",-1
"IRF2BP2",-1
"ISYNA1",-1
"ITGA2B",-1
"ITGB4",-1
"JOSD1",-1
"KCNH3",-1
"KCNK9",-1
"KCNQ4",-1
"KCTD17",-1
"KIF1A",-1
"KIFC1",-1
"KIR2DL1",-1
"KLC2",-1
"KLF6",-1
"KLHDC3",-1
"KRT16",-1
"LAMA5",-1
"LAT",-1
"LCN1",-1
"LHX2",-1
"LIM2",-1
"LIMD1",-1
"LIMK2",-1
"LPIN2",-1
"LPXN",-1
"LSM7",-1
"LSS",-1
"LST1",-1
"MEF2D",-1
"MFNG",-1
"MICAL1",-1
"MRPL52",-1
"MSI1",-1
"MSN",-1
"MSX1",-1
"MYL6",-1
"MYOG",-1
"MYT1",-1
"NCK2",-1
"NDFIP1",-1
"NDRG2",-1
"NES",-1
"NFATC4",-1
"NFKBIB",-1
"NIPSNAP1",-1
"NONO",-1
"NQO2",-1
"NT5M",-1
"NUBP2",-1
"NUMA1",-1
"NUP210",-1
"ORMDL3",-1
"OS9",-1
"OSBPL1A",-1
"PADI4",-1
"PAIP2",-1
"PAM",-1
"PCBP3",-1
"PCGF6",-1
"PCNT",-1
"PDAP1",-1
"PDCL3",-1
"PDXP",-1
"PF4",-1
"PFDN2",-1
"PGK1",-1
"PGLYRP1",-1
"PHC1",-1
"PHF1",-1
"PIAS3",-1
"PIGL",-1
"PIGQ",-1
"PIM2",-1
"PIP5K1C",-1
"PITX1",-1
"PKMYT1",-1
"PLA2G2F",-1
"PLAUR",-1
"PLP2",-1
"PLSCR3",-1
"POLD3",-1
"POM121",-1
"POR",-1
"POU3F1",-1
"POU3F4",-1
"PPFIA3",-1
"PPP1R1B",-1
"PPP2R5A",-1
"PPP3CC",-1
"PPRC1",-1
"PQBP1",-1
"PRKCG",-1
"PRMT8",-1
"PROK2",-1
"PSTPIP1",-1
"PTMS",-1
"PTPRU",-1
"PTTG1IP",-1
"PYCR2",-1
"QRSL1",-1
"RANGAP1",-1
"RAPSN",-1
"RASGRP2",-1
"RASL10B",-1
"RBM10",-1
"RBM4B",-1
"REEP4",-1
"RGS14",-1
"RGS2",-1
"RNF149",-1
"RRM2",-1
"S100A12",-1
"S100A14",-1
"S100A6",-1
"S100A8",-1
"SALL2",-1
"SARDH",-1
"SCLY",-1
"SDSL",-1
"SELL",-1
"SET",-1
"SH3BP1",-1
"SHKBP1",-1
"SIGIRR",-1
"SIGLEC1",-1
"SIX3",-1
"SLAMF1",-1
"SLC1A5",-1
"SLC34A1",-1
"SLC39A7",-1
"SLC3A2",-1
"SLC44A4",-1
"SLC9A3R2",-1
"SMG6",-1
"SNCB",-1
"SP1",-1
"SPARC",-1
"SPHK1",-1
"SPN",-1
"SRF",-1
"ST14",-1
"STAB1",-1
"STAT4",-1
"STAT5A",-1
"STK24",-1
"SURF4",-1
"SYNGAP1",-1
"SYTL1",-1
"TACC3",-1
"TAF1C",-1
"TAL1",-1
"TBC1D2B",-1
"TBX5",-1
"TBXAS1",-1
"TFAP4",-1
"TFCP2",-1
"TGOLN2",-1
"TH",-1
"THOC2",-1
"THOC6",-1
"THPO",-1
"THRA",-1
"TIMM8A",-1
"TMEM115",-1
"TMSB4X",-1
"TMSB4Y",-1
"TNIP1",-1
"TNK2",-1
"TNNT2",-1
"TP73",-1
"TPST2",-1
"TRAF5",-1
"TRAPPC5",-1
"TRIM3",-1
"TRIM46",-1
"TRPC4AP",-1
"TSC2",-1
"TSC22D3",-1
"TSEN54",-1
"TUBB2B",-1
"TXN2",-1
"TYRO3",-1
"UBE2R2",-1
"UBE2V1",-1
"UBL5",-1
"UNC93A",-1
"USP2",-1
"USP5",-1
"VAMP8",-1
"VEGFB",-1
"VGF",-1
"VPS28",-1
"VPS37C",-1
"VTN",-1
"VWF",-1
"WAC",-1
"WDR6",-1
"WNT10B",-1
"WNT11",-1
"WNT3",-1
"ZBTB32",-1
"ZFP36L1",-1
"ZNF148",-1
"ZNF35",-1
"ZNHIT1",-1
"ZP2",-1
"ZP3",-1
