"symbol1"	"symbol2"	"MF"
"ABCA4"	"ABCB11"	0.462
"ACADS"	"SAMM50"	0
"ALAS2"	"HBD"	0.237
"ALAS2"	"GNMT"	0.348
"ARRB1"	"GNMT"	0.064
"BCS1L"	"SAMM50"	0.095
"CBL"	"CD79B"	0.067
"CDC34"	"FBXL2"	0.227
"CHRM1"	"LAMB2"	0
"CHRM1"	"SP1"	0
"CHRM1"	"F2RL3"	0.364
"DYNC1I1"	"SPTBN2"	0.06
"DYNC1I1"	"RILP"	0.071
"IDH3B"	"PYCR1"	0.321
"IDH3B"	"SAMM50"	0
"IRAK2"	"PELI3"	0.196
"LDLR"	"SNX17"	0.071
"MYO1A"	"RAC3"	NA
"POU2F1"	"SP1"	0.238
"POU2F1"	"VDR"	0.218
"PYCR1"	"SUPT5H"	0.071
"PYCR1"	"ADSSL1"	0.078
"RAC3"	"NRBP1"	0.074
"RAC3"	"CLEC1B"	0.061
"RAC3"	"PLEKHG5"	0.154
"RAC3"	"ARHGAP10"	0.061
"SPTBN2"	"SPTBN4"	0.289
"SPTBN2"	"RILP"	0.219
"UCHL1"	"HIST1H2BN"	0.046
"HIST1H2AK"	"HIST1H2BN"	0.256
"OR1E1"	"OR1J2"	NA
"OR1E1"	"OR5C1"	0.456
"LY6D"	"ABCB11"	NA
"MAP3K14"	"PELI3"	0.228
"TXNRD2"	"SAMM50"	0.095
"SLC35D2"	"B3GNT7"	0
"OR1J2"	"OR5C1"	NA
"DGCR8"	"CDT1"	0.119
"PLEKHG5"	"ARHGAP10"	0.241
"CDT1"	"LMNB2"	0.095
"DERL3"	"SERINC5"	0
