"node","cluster"
"214515_at",1
"218832_x_at",1
"221861_at",1
"43511_s_at",1
"49111_at",1
"221413_at",2
"211045_s_at",2
"211046_at",2
"221023_s_at",2
"220185_at",3
"205155_s_at",3
"205348_s_at",3
"208894_at",3
"210982_s_at",3
"208267_at",4
"204253_s_at",4
"204254_s_at",4
"204255_s_at",4
"213692_s_at",4
"210587_at",5
"206743_s_at",5
"209908_s_at",5
"209909_s_at",5
"220406_at",5
"220407_s_at",5
"205755_at",5
"207221_at",6
"218832_x_at",6
"221861_at",6
"43511_s_at",6
"49111_at",6
"208260_at",6
"200991_s_at",7
"206607_at",7
"207584_at",7
"203920_at",7
"218832_x_at",7
"221861_at",7
"43511_s_at",7
"49111_at",7
"202067_s_at",7
"202068_s_at",7
"217005_at",7
"217103_at",7
"217173_s_at",7
"212540_at",8
"206607_at",8
"210024_s_at",8
"214436_at",8
"220570_at",9
"202949_s_at",9
"214732_at",9
"204253_s_at",9
"204254_s_at",9
"204255_s_at",9
"213692_s_at",9
"206789_s_at",9
"203920_at",9
"209531_at",10
"203113_s_at",10
"213087_s_at",10
"214394_x_at",10
"214395_x_at",10
"201480_s_at",10
"201387_s_at",9999
"201509_at",9999
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"202366_at",9999
"202847_at",9999
"203948_s_at",9999
"203949_at",9999
"204175_at",9999
"204229_at",9999
"204230_s_at",9999
"204857_at",9999
"205297_s_at",9999
"205983_at",9999
"206103_at",9999
"206479_at",9999
"206660_at",9999
"206724_at",9999
"206834_at",9999
"207226_at",9999
"207618_s_at",9999
"207634_at",9999
"209990_s_at",9999
"209991_x_at",9999
"210014_x_at",9999
"210328_at",9999
"210418_s_at",9999
"210803_at",9999
"211177_s_at",9999
"211560_s_at",9999
"211679_x_at",9999
"211916_s_at",9999
"212767_at",9999
"213240_s_at",9999
"214399_s_at",9999
"214410_at",9999
"214457_at",9999
"214644_at",9999
"217077_s_at",9999
"219431_at",9999
"220496_at",9999
"220636_at",9999
"220638_s_at",9999
"221668_s_at",9999
