"node","cluster"
"214515_at",1
"218832_x_at",1
"221861_at",1
"43511_s_at",1
"49111_at",1
"201387_s_at",2
"207618_s_at",2
"213240_s_at",2
"214399_s_at",2
"210746_s_at",3
"211560_s_at",3
"206834_at",3
"210328_at",3
"212540_at",4
"206607_at",4
"210024_s_at",4
"214436_at",4
"205297_s_at",4
"220638_s_at",4
"200991_s_at",5
"206607_at",5
"207584_at",5
"203920_at",5
"218832_x_at",5
"221861_at",5
"43511_s_at",5
"49111_at",5
"202067_s_at",5
"202068_s_at",5
"217005_at",5
"217103_at",5
"217173_s_at",5
"202366_at",6
"201509_at",6
"210014_x_at",6
"210418_s_at",6
"210803_at",6
"211177_s_at",6
"220185_at",7
"220636_at",7
"221668_s_at",7
"205155_s_at",7
"205348_s_at",7
"207634_at",7
"208894_at",7
"210982_s_at",7
"210587_at",8
"206743_s_at",8
"209908_s_at",8
"209909_s_at",8
"220406_at",8
"220407_s_at",8
"220496_at",8
"205755_at",8
"207221_at",9
"218832_x_at",9
"221861_at",9
"43511_s_at",9
"49111_at",9
"208260_at",9
"210300_at",10
"209531_at",10
"214457_at",10
"206724_at",10
"214644_at",10
"207226_at",10
"203113_s_at",10
"213087_s_at",10
"214394_x_at",10
"214395_x_at",10
"203948_s_at",10
"203949_at",10
"201480_s_at",10
"208267_at",11
"202949_s_at",11
"214732_at",11
"206479_at",11
"214410_at",11
"204253_s_at",11
"204254_s_at",11
"204255_s_at",11
"213692_s_at",11
"206789_s_at",11
"203920_at",11
"204229_at",12
"204230_s_at",12
"209990_s_at",12
"209991_x_at",12
"211679_x_at",12
"217077_s_at",12
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"204175_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206660_at",9999
"209832_s_at",9999
"211045_s_at",9999
"211046_at",9999
"212767_at",9999
"216952_s_at",9999
"219431_at",9999
"219441_s_at",9999
"221023_s_at",9999
"221413_at",9999
