"symbol1" "symbol2" "BP"
"REM1" "GSTZ1" NA
"REM1" "LRRC24" NA
"REM1" "ISLR2" NA
"REM1" "LRRK1" NA
"REM1" "PLEKHG5" NA
"REM1" "LRRC38" NA
"CDC34" "UBE2E3" 0.316
"CDC34" "FBXL2" 0.305
"CDC34" "CBL" 0.276
"CDC34" "UBL4B" 0.095
"CDC34" "ZNRF3" 0.302
"GSTZ1" "EEF1D" 0.249
"GSTZ1" "MPO" 0.197
"PCK2" "CRTC2" 0.275
"PCK2" "RETN" 0.115
"SLC17A7" "GABBR2" 0.13
"AMH" "INHBE" 0.237
"RETN" "SP1" 0.176
"HOXA2" "HIST1H2BN" 0.079
"SNX17" "LDLR" 0.24
"TBX4" "DUX4" 0.093
"ACADS" "TXNRD2" 0.029
"F2RL3" "ARRB1" 0.293
"F2RL3" "AVPR1B" 0.261
"F2RL3" "CHRM1" 0.279
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.317
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" 0.095
"USP37" "RHPN1" NA
"DPEP1" "SAMM50" 0.053
"DGCR8" "CDT1" 0.222
"SPTBN4" "SPTBN2" 0.308
"SPTBN4" "DYNC1I1" 0.161
"SPTBN4" "CABP4" 0.17
"CBL" "UBE2E3" 0.131
"CBL" "LDLR" 0.249
"CBL" "ARRB1" 0.321
"CBL" "CD79B" 0.192
"CBL" "CBLC" 0.382
"TRPV5" "TRPM1" 0.306
"TRPV5" "VDR" 0.109
"MAD1L1" "PMF1" 0.322
"MAD1L1" "CENPH" 0.233
"INHBE" "BMPER" 0.308
"INHBE" "TGFB2" 0.214
"ASGR1" "CLEC1B" 0.088
"ASGR1" "ITIH3" 0.305
"CBX4" "HIST1H2BN" 0.102
"NFKBIE" "CARD11" 0.47
"CENPH" "HIST1H2BN" 0.355
"CENPH" "PMF1" 0.034
"UCHL1" "BCS1L" 0.034
"UCHL1" "KRT4" 0.08
"MYO1A" "RAC3" 0.035
"MYO1A" "CABP4" 0.201
"EPB42" "ALAS2" NA
"EPB42" "HBD" NA
"CDT1" "LMNB2" NA
"RILP" "HLA-DRA" 0.257
"RILP" "SPTBN2" 0.318
"RILP" "DYNC1I1" 0.247
"KCNAB3" "KCNH6" 0.484
"RAC3" "PLEKHG5" 0.22
"RAC3" "ARHGAP10" 0.273
"CHRM1" "AVPR1B" 0.229
"CHRM1" "ARRB1" 0.219
"CHRM1" "SP1" 0.18
"CHRM1" "LAMB2" 0.063
"DNAI2" "DYNC1I1" 0.262
"BRSK1" "RIMS2" 0.362
"SPTBN2" "DYNC1I1" 0.39
"SPTBN2" "CABP4" 0.091
"SPTBN2" "HLA-DRA" 0.328
"OR1E1" "ARRB1" 0.12
"DYNC1I1" "HLA-DRA" 0.317
"LPA" "LDLR" 0.219
"FHL2" "SP1" 0.275
"CABP4" "UBL4B" 0.095
"CABP4" "CACNA1E" 0.082
"IGLL1" "CD79B" 0.31
"SP1" "VDR" 0.298
"SP1" "POU2F1" 0.317
"SP1" "NR1H3" 0.269
"HIST1H2AK" "HIST1H2BN" 0.373
"ALAS2" "GNMT" 0.181
"ALAS2" "HBD" 0.24
"UBL4B" "UBE2E3" 0.034
"PDCD1" "HLA-DRA" 0.243
"OR1J2" "ARRB1" 0.349
"SAMM50" "STK32A" 0.034
"TGFB2" "ITIH3" 0.59
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.12
"ZNF593" "MTG1" 0.128
"IDH3B" "TXNRD2" 0.034
"LRRK1" "CARD11" 0.281
"UBE2E3" "ZNRF3" 0.238
"CD79B" "CARD11" 0.301
"HIST1H2BN" "SUPT5H" 0.13
"NR1H3" "LDLR" 0.397
"EEF1D" "SUPT5H" 0.193
"ARRB1" "LDLR" 0.292
"ARRB1" "OR7G1" 0.349
