"symbol1" "symbol2" "CC"
"OSBPL7" "MOSPD3" NA
"PGLYRP1" "DLG5" 0.075
"PGLYRP1" "HSPBP1" 0.177
"SCTR" "HTR4" 0.479
"SCTR" "FSHR" 0.472
"SCTR" "GNB1" 0.387
"SCTR" "ADM2" 0
"SCTR" "GNB2" 0.299
"SCTR" "ADCY1" 0.473
"SCTR" "P2RY11" 0.605
"SCTR" "GPR20" 0.484
"PIGQ" "PIGL" 0.984
"RTN4R" "GNB1" 0.61
"RTN4R" "HRAS" 0.336
"RTN4R" "CAB39" 0.26
"RTN4R" "DIRAS3" NA
"RTN4R" "AKT1" 0.332
"RTN4R" "GNAI2" 0.422
"RTN4R" "DIRAS2" 0.882
"RTN4R" "EEF1G" 0.408
"RTN4R" "TYRO3" 0.488
"RTN4R" "RASL10B" NA
"RTN4R" "GNB2" 0.451
"RTN4R" "RTN2" 0.324
"RTN4R" "PPP3CC" 0.084
"RTN4R" "SH3GL1" 0.29
"RTN4R" "MCL1" 0.264
"PSMA4" "EXOSC5" 0.616
"PSMA4" "ACHE" 0.296
"PSMA4" "NFKB2" 0.568
"PSMA4" "PSMA7" 0.816
"PSMA4" "UQCRQ" 0.343
"PSMA4" "PSMC4" 0.681
"PSMA4" "PPIB" 0.448
"PSMA4" "PPP2R5A" 0.522
"PSMA4" "CDC25A" 0.559
"PSMA4" "RPN1" 0.395
"PSMA4" "PLK1" 0.476
"PSMA4" "TNF" 0.216
"PSMA4" "RELB" 0.578
"PSMA4" "PSMB4" 0.849
"PSMA4" "ASNA1" 0.541
"PSMA4" "DHH" NA
"PSMA4" "ANAPC2" 0.572
"PSMA4" "PSME4" 0.76
"PSMA4" "OAZ2" 0.504
"PSMA4" "NFKBIB" 0.925
"GRN" "HK3" 0.656
"GRN" "AKT1" 0.345
"GRN" "ITGA2B" 0.494
"GRN" "IFI30" 0.482
"GRN" "TNF" 0.413
"CD22" "SELL" 0.555
"CD22" "FFAR2" 0.385
"CD22" "CD7" 0.421
"CD22" "TNF" 0.749
"CD22" "CD79A" 0.58
"CD22" "SPN" 0.635
"CD22" "CD72" 0.385
"CD22" "TNFRSF13B" 0.882
"PSMC4" "NFKB2" 0.524
"PSMC4" "PSMA7" 0.77
"PSMC4" "PPP2R5A" 0.53
"PSMC4" "CDC25A" 0.522
"PSMC4" "PLK1" 0.417
"PSMC4" "UFD1L" NA
"PSMC4" "TNF" 0.19
"PSMC4" "RELB" 0.543
"PSMC4" "PSMB4" 0.711
"PSMC4" "DHH" NA
"PSMC4" "ANAPC2" 0.561
"PSMC4" "PSME4" 0.734
"PSMC4" "OAZ2" 0.454
"PSMC4" "NFKBIB" 0.925
"PSMC4" "FTSJ3" 0.361
"PSMC4" "LHX2" NA
"BCL3" "NFKB2" 0.651
"BCL3" "STAT3" 0.645
"BCL3" "AKT1" 0.659
"BCL3" "PLK1" 0.518
"BCL3" "RFXANK" 0.459
"BCL3" "TNF" 0.247
"BCL3" "HDAC3" 0.599
"BCL3" "RELB" 0.586
"PDZD4" "LAMA5" NA
"HBQ1" "HBZ" 0.8
"HBQ1" "ALAS2" 0.12
"HBQ1" "HBE1" 0.739
"HBQ1" "ECHS1" 0.115
"HBQ1" "TH" 0.124
"HBQ1" "HBD" 0.739
"HBQ1" "PAH" 0.433
"ITGB4" "KLC2" 0.287
"ITGB4" "HRAS" 0.198
"ITGB4" "VWF" 0.296
"ITGB4" "CHAD" 0.209
