"symbol1","symbol2","MF","BP","CC"
"ABCA4","ABCB11",0.705,0.544,0.651
"ACADS","SAMM50",0,0.052,0.581
"ALAS2","HBD",0.544,0.4,0.258
"ALAS2","GNMT",0.712,0.28,0.442
"ARRB1","GNMT",0.303,0.424,1
"BCS1L","SAMM50",1,0.846,0.647
"CBL","CD79B",0.351,0.446,0.682
"CDC34","FBXL2",0.754,0.701,0.305
"CHRM1","LAMB2",0,0.22,0.023
"CHRM1","SP1",0,0.387,0.068
"CHRM1","F2RL3",1,0.6,0.692
"DYNC1I1","SPTBN2",0.151,0.735,0.394
"DYNC1I1","RILP",0.33,0.414,0.564
"IDH3B","PYCR1",0.453,0.497,0.894
"IDH3B","SAMM50",0,0.049,0.606
"IRAK2","PELI3",0.75,0.555,1
"LDLR","SNX17",0.356,0.416,0.667
"MYO1A","RAC3",NA,0.075,0.544
"POU2F1","SP1",0.731,0.686,0.709
"POU2F1","VDR",0.635,0.503,0.852
"PYCR1","SUPT5H",0.466,0.314,0.472
"PYCR1","ADSSL1",0.148,0.289,0.457
"RAC3","NRBP1",0.456,0.367,0.444
"RAC3","CLEC1B",0.4,0.298,1
"RAC3","PLEKHG5",0.356,0.453,0.481
"RAC3","ARHGAP10",0.4,0.619,1
"SPTBN2","SPTBN4",0.574,0.65,0.506
"SPTBN2","RILP",0.502,0.605,0.34
"UCHL1","HIST1H2BN",0.262,0.48,0.675
"HIST1H2AK","HIST1H2BN",1,0.83,0.828
"OR1E1","OR1J2",NA,1,1
"OR1E1","OR5C1",1,1,1
"LY6D","ABCB11",NA,NA,0.902
"MAP3K14","PELI3",0.797,0.458,1
"TXNRD2","SAMM50",1,0.049,0.583
"SLC35D2","B3GNT7",0,0.852,0.927
"OR1J2","OR5C1",NA,1,1
"DGCR8","CDT1",0.458,0.305,0.733
"PLEKHG5","ARHGAP10",0.537,0.63,1
"CDT1","LMNB2",1,NA,0.519
"DERL3","SERINC5",0,0.331,0.223
