"node","cluster"
"221413_at",1
"211045_s_at",1
"211046_at",1
"221023_s_at",1
"210587_at",2
"206743_s_at",2
"209908_s_at",2
"209909_s_at",2
"220406_at",2
"220407_s_at",2
"205755_at",2
"220570_at",3
"202949_s_at",3
"214732_at",3
"204253_s_at",3
"204254_s_at",3
"204255_s_at",3
"213692_s_at",3
"206789_s_at",3
"203920_at",3
"214457_at",4
"206724_at",4
"214644_at",4
"207226_at",4
"201480_s_at",4
"208267_at",5
"206479_at",5
"214410_at",5
"204253_s_at",5
"204254_s_at",5
"204255_s_at",5
"213692_s_at",5
"207221_at",6
"214515_at",6
"218832_x_at",6
"221861_at",6
"43511_s_at",6
"49111_at",6
"208260_at",6
"212540_at",7
"206607_at",7
"210024_s_at",7
"214436_at",7
"205297_s_at",7
"220638_s_at",7
"200991_s_at",8
"206607_at",8
"207584_at",8
"203920_at",8
"218832_x_at",8
"221861_at",8
"43511_s_at",8
"49111_at",8
"202067_s_at",8
"202068_s_at",8
"217005_at",8
"217103_at",8
"217173_s_at",8
"209531_at",9
"203113_s_at",9
"213087_s_at",9
"214394_x_at",9
"214395_x_at",9
"201480_s_at",9
"204229_at",10
"204230_s_at",10
"209990_s_at",10
"209991_x_at",10
"211679_x_at",10
"217077_s_at",10
"220185_at",11
"220636_at",11
"221668_s_at",11
"205155_s_at",11
"205348_s_at",11
"207634_at",11
"208894_at",11
"210982_s_at",11
"201387_s_at",9999
"201509_at",9999
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"202366_at",9999
"202847_at",9999
"203948_s_at",9999
"203949_at",9999
"204175_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206660_at",9999
"206834_at",9999
"207618_s_at",9999
"210014_x_at",9999
"210328_at",9999
"210418_s_at",9999
"210803_at",9999
"211177_s_at",9999
"211560_s_at",9999
"211916_s_at",9999
"212767_at",9999
"213240_s_at",9999
"214399_s_at",9999
"219431_at",9999
"220496_at",9999
