"node","cluster"
"PCK2",0
"SLC17A7",0
"TBX4",0
"IRAK2",0
"DGCR8",0
"TRPV5",0
"MAD1L1",0
"INHBE",0
"UCHL1",0
"KCNAB3",0
"RAC3",0
"BRSK1",0
"CABP4",0
"SP1",0
"ALAS2",0
"UBL4B",0
"SAMM50",0
"ZNF593",0
"HIST1H2BN",0
"GABBR2",0
"LDLR",0
"DUX4",0
"TXNRD2",0
"PELI3",0
"CDT1",0
"KCNH6",0
"RIMS2",0
"MTG1",0
"CDC34",1
"USP37",1
"UBE2E3",1
"ZNRF3",1
"GSTZ1",2
"SUPT5H",2
"DPEP1",7
"STK32A",7
"CBL",9
"OR1E1",9
"OR1J2",9
"OR5C1",9
"FBXL2",9
"OR7G1",9
"HOXA2",13
"CBX4",13
"CENPH",13
"HIST1H2AK",13
"PMF1",13
"F2RL3",17
"CHRM1",17
"RILP",19
"DNAI2",19
"SPTBN2",19
"DYNC1I1",19
"PDCD1",19
"AMH",25
"ASGR1",25
"TGFB2",25
"BMPER",25
"ACADS",27
"IDH3B",27
"NFKBIE",28
"LRRK1",28
"CD79B",28
"EEF1D",30
"MPO",30
"SNX17",31
"LPA",31
"FHL2",31
"NR1H3",31
"ARRB1",31
"AVPR1B",31
"CBLC",31
"LAMB2",31
"POU2F1",31
"RETN",32
"CRTC2",32
"TRPM1",39
"VDR",39
"CLEC1B",40
"ITIH3",40
"IGLL1",41
"CARD11",41
"BCS1L",42
"KRT4",42
"SPTBN4",43
"MYO1A",43
"HLA-DRA",43
"CACNA1E",43
"PLEKHG5",45
"ARHGAP10",45
"GNMT",47
"HBD",47
