"symbol1" "symbol2" "CC"
"REM1" "GSTZ1" 0.196
"REM1" "LRRC24" 0.1385
"REM1" "ISLR2" 0.14575
"REM1" "LRRK1" 0.196
"REM1" "PLEKHG5" 0.243
"REM1" "LRRC38" 0.605
"CDC34" "UBE2E3" 0.725
"CDC34" "FBXL2" 0.308
"CDC34" "CBL" 0.3565
"CDC34" "UBL4B" NA
"CDC34" "ZNRF3" 0.189
"GSTZ1" "EEF1D" 0.5045
"GSTZ1" "MPO" 0.3465
"PCK2" "CRTC2" 0.4415
"PCK2" "RETN" 0.25625
"SLC17A7" "GABBR2" 0.41525
"AMH" "INHBE" 0.80175
"RETN" "SP1" 0.2595
"HOXA2" "HIST1H2BN" 0.5115
"SNX17" "LDLR" 0.56575
"TBX4" "DUX4" NA
"ACADS" "TXNRD2" 0.64
"F2RL3" "ARRB1" 0.33525
"F2RL3" "AVPR1B" 0.582
"F2RL3" "CHRM1" 0.5835
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.788
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" NA
"USP37" "RHPN1" 0.279
"DPEP1" "SAMM50" 0.44125
"DGCR8" "CDT1" 0.58425
"SPTBN4" "SPTBN2" 0.44825
"SPTBN4" "DYNC1I1" 0.3745
"SPTBN4" "CABP4" 0.41325
"CBL" "UBE2E3" 0.3505
"CBL" "LDLR" 0.46075
"CBL" "ARRB1" 0.51975
"CBL" "CD79B" 0.56875
"CBL" "CBLC" 0.55675
"TRPV5" "TRPM1" 0.74525
"TRPV5" "VDR" 0.16425
"MAD1L1" "PMF1" 0.521
"MAD1L1" "CENPH" 0.5465
"INHBE" "BMPER" 0.80175
"INHBE" "TGFB2" 0.80175
"ASGR1" "CLEC1B" 0.76725
"ASGR1" "ITIH3" 0.12325
"CBX4" "HIST1H2BN" 0.53425
"NFKBIE" "CARD11" 0.441
"CENPH" "HIST1H2BN" 0.66875
"CENPH" "PMF1" 0.677
"UCHL1" "BCS1L" 0.3575
"UCHL1" "KRT4" 0.442
"MYO1A" "RAC3" 0.484
"MYO1A" "CABP4" 0.23525
"EPB42" "ALAS2" 0.2695
"EPB42" "HBD" 0.225
"CDT1" "LMNB2" 0.4565
"RILP" "HLA-DRA" 0.522
"RILP" "SPTBN2" 0.32575
"RILP" "DYNC1I1" 0.479
"KCNAB3" "KCNH6" 0.76725
"RAC3" "PLEKHG5" 0.426
"RAC3" "ARHGAP10" 0.788
"CHRM1" "AVPR1B" 0.583
"CHRM1" "ARRB1" 0.363
"CHRM1" "SP1" 0.16275
"CHRM1" "LAMB2" 0.10975
"DNAI2" "DYNC1I1" 0.45575
"BRSK1" "RIMS2" 0.55875
"SPTBN2" "DYNC1I1" 0.36225
"SPTBN2" "CABP4" 0.43575
"SPTBN2" "HLA-DRA" 0.31375
"OR1E1" "ARRB1" 0.76725
"DYNC1I1" "HLA-DRA" 0.3695
"LPA" "LDLR" 0.122
"FHL2" "SP1" 0.465
"CABP4" "UBL4B" NA
"CABP4" "CACNA1E" 0.196
"IGLL1" "CD79B" 0.57225
"SP1" "VDR" 0.557
"SP1" "POU2F1" 0.565
"SP1" "NR1H3" 0.5975
"HIST1H2AK" "HIST1H2BN" 0.68075
"ALAS2" "GNMT" 0.3975
"ALAS2" "HBD" 0.23625
"UBL4B" "UBE2E3" NA
"PDCD1" "HLA-DRA" 0.76725
"OR1J2" "ARRB1" 0.76725
"SAMM50" "STK32A" NA
"TGFB2" "ITIH3" 0.55825
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.76725
"ZNF593" "MTG1" 0.41425
"IDH3B" "TXNRD2" 0.65975
"LRRK1" "CARD11" 0.401
"UBE2E3" "ZNRF3" 0.18375
"CD79B" "CARD11" 0.5695
"HIST1H2BN" "SUPT5H" 0.54225
"NR1H3" "LDLR" 0.3305
"EEF1D" "SUPT5H" 0.48075
"ARRB1" "LDLR" 0.5135
"ARRB1" "OR7G1" 0.76725
