"symbol1" "symbol2" "MF"
"REM1" "GSTZ1" 0.20175
"REM1" "LRRC24" NA
"REM1" "ISLR2" NA
"REM1" "LRRK1" 0.20175
"REM1" "PLEKHG5" 0.092
"REM1" "LRRC38" 0.06175
"CDC34" "UBE2E3" 0.81525
"CDC34" "FBXL2" 0.60225
"CDC34" "CBL" 0.5225
"CDC34" "UBL4B" 0.688
"CDC34" "ZNRF3" 0.68075
"GSTZ1" "EEF1D" 0.274
"GSTZ1" "MPO" 0.29175
"PCK2" "CRTC2" 0.28975
"PCK2" "RETN" NA
"SLC17A7" "GABBR2" 0.03575
"AMH" "INHBE" 0.63925
"RETN" "SP1" NA
"HOXA2" "HIST1H2BN" 0.6315
"SNX17" "LDLR" 0.29625
"TBX4" "DUX4" 0.579
"ACADS" "TXNRD2" 0.2465
"F2RL3" "ARRB1" 0.13525
"F2RL3" "AVPR1B" 0.5395
"F2RL3" "CHRM1" 0.83675
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.5995
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" 0.688
"USP37" "RHPN1" 0.688
"DPEP1" "SAMM50" 0.688
"DGCR8" "CDT1" 0.3805
"SPTBN4" "SPTBN2" 0.49975
"SPTBN4" "DYNC1I1" 0.4245
"SPTBN4" "CABP4" 0.15725
"CBL" "UBE2E3" 0.5225
"CBL" "LDLR" 0.27925
"CBL" "ARRB1" 0.31475
"CBL" "CD79B" 0.3195
"CBL" "CBLC" 0.56025
"TRPV5" "TRPM1" 0.8755
"TRPV5" "VDR" 0.19875
"MAD1L1" "PMF1" 0.36175
"MAD1L1" "CENPH" 0.73875
"INHBE" "BMPER" NA
"INHBE" "TGFB2" 0.586
"ASGR1" "CLEC1B" 0.688
"ASGR1" "ITIH3" 0.688
"CBX4" "HIST1H2BN" 0.28875
"NFKBIE" "CARD11" 0.688
"CENPH" "HIST1H2BN" 0.28875
"CENPH" "PMF1" 0.353
"UCHL1" "BCS1L" 0.688
"UCHL1" "KRT4" 0.688
"MYO1A" "RAC3" NA
"MYO1A" "CABP4" NA
"EPB42" "ALAS2" 0.39025
"EPB42" "HBD" 0.361
"CDT1" "LMNB2" 0.688
"RILP" "HLA-DRA" 0.3155
"RILP" "SPTBN2" 0.44725
"RILP" "DYNC1I1" 0.2865
"KCNAB3" "KCNH6" 0
"RAC3" "PLEKHG5" 0.312
"RAC3" "ARHGAP10" 0.342
"CHRM1" "AVPR1B" 0.3115
"CHRM1" "ARRB1" 0.05575
"CHRM1" "SP1" 0.05825
"CHRM1" "LAMB2" 0.02825
"DNAI2" "DYNC1I1" 0.77875
"BRSK1" "RIMS2" 0.1745
"SPTBN2" "DYNC1I1" 0.132
"SPTBN2" "CABP4" 0.1075
"SPTBN2" "HLA-DRA" 0.15675
"OR1E1" "ARRB1" 0.11225
"DYNC1I1" "HLA-DRA" 0.23625
"LPA" "LDLR" 0.24775
"FHL2" "SP1" 0.4105
"CABP4" "UBL4B" 0.29225
"CABP4" "CACNA1E" 0.0105
"IGLL1" "CD79B" 0.21225
"SP1" "VDR" 0.5875
"SP1" "POU2F1" 0.60775
"SP1" "NR1H3" 0.62
"HIST1H2AK" "HIST1H2BN" 0.8
"ALAS2" "GNMT" 0.58725
"ALAS2" "HBD" 0.44625
"UBL4B" "UBE2E3" 0.688
"PDCD1" "HLA-DRA" 0.688
"OR1J2" "ARRB1" NA
"SAMM50" "STK32A" 0.13025
"TGFB2" "ITIH3" 0.39025
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.07475
"ZNF593" "MTG1" 0.10925
"IDH3B" "TXNRD2" 0.4015
"LRRK1" "CARD11" 0.4025
"UBE2E3" "ZNRF3" 0.68075
"CD79B" "CARD11" 0.39325
"HIST1H2BN" "SUPT5H" 0.628
"NR1H3" "LDLR" 0.228
"EEF1D" "SUPT5H" 0.51625
"ARRB1" "LDLR" 0.28025
"ARRB1" "OR7G1" 0.11225
