"symbol1","symbol2"
"ABCA4","ABCB11"
"ACADS","SAMM50"
"ALAS2","HBD"
"ALAS2","GNMT"
"ARRB1","GNMT"
"BCS1L","SAMM50"
"CBL","CD79B"
"CDC34","FBXL2"
"CHRM1","LAMB2"
"CHRM1","SP1"
"CHRM1","F2RL3"
"DYNC1I1","SPTBN2"
"DYNC1I1","RILP"
"IDH3B","PYCR1"
"IDH3B","SAMM50"
"IRAK2","PELI3"
"LDLR","SNX17"
"MYO1A","RAC3"
"POU2F1","SP1"
"POU2F1","VDR"
"PYCR1","SUPT5H"
"PYCR1","ADSSL1"
"RAC3","NRBP1"
"RAC3","CLEC1B"
"RAC3","PLEKHG5"
"RAC3","ARHGAP10"
"SPTBN2","SPTBN4"
"SPTBN2","RILP"
"UCHL1","HIST1H2BN"
"HIST1H2AK","HIST1H2BN"
"OR1E1","OR1J2"
"OR1E1","OR5C1"
"LY6D","ABCB11"
"MAP3K14","PELI3"
"TXNRD2","SAMM50"
"SLC35D2","B3GNT7"
"OR1J2","OR5C1"
"DGCR8","CDT1"
"PLEKHG5","ARHGAP10"
"CDT1","LMNB2"
"DERL3","SERINC5"
