"node","cluster"
"221413_at",1
"211045_s_at",1
"211046_at",1
"221023_s_at",1
"208267_at",2
"204253_s_at",2
"204254_s_at",2
"204255_s_at",2
"213692_s_at",2
"206607_at",3
"218832_x_at",3
"221861_at",3
"43511_s_at",3
"49111_at",3
"202067_s_at",3
"202068_s_at",3
"217005_at",3
"217103_at",3
"217173_s_at",3
"210587_at",4
"206743_s_at",4
"209908_s_at",4
"209909_s_at",4
"220406_at",4
"220407_s_at",4
"205755_at",4
"202949_s_at",5
"214732_at",5
"204253_s_at",5
"204254_s_at",5
"204255_s_at",5
"213692_s_at",5
"206789_s_at",5
"203920_at",5
"204229_at",6
"204230_s_at",6
"209990_s_at",6
"209991_x_at",6
"211679_x_at",6
"217077_s_at",6
"209531_at",7
"203113_s_at",7
"213087_s_at",7
"214394_x_at",7
"214395_x_at",7
"201480_s_at",7
"220185_at",8
"220636_at",8
"221668_s_at",8
"205155_s_at",8
"205348_s_at",8
"208894_at",8
"210982_s_at",8
"212540_at",9
"206607_at",9
"210024_s_at",9
"214436_at",9
"205297_s_at",9
"220638_s_at",9
"200991_s_at",10
"207584_at",10
"203920_at",10
"202067_s_at",10
"202068_s_at",10
"217005_at",10
"217103_at",10
"217173_s_at",10
"207221_at",11
"214515_at",11
"218832_x_at",11
"221861_at",11
"43511_s_at",11
"49111_at",11
"208260_at",11
"201387_s_at",9999
"201509_at",9999
"201569_s_at",9999
"201570_at",9999
"202337_at",9999
"202366_at",9999
"202847_at",9999
"203948_s_at",9999
"203949_at",9999
"204175_at",9999
"204857_at",9999
"205983_at",9999
"206103_at",9999
"206479_at",9999
"206660_at",9999
"206724_at",9999
"206834_at",9999
"207226_at",9999
"207618_s_at",9999
"207634_at",9999
"209832_s_at",9999
"210014_x_at",9999
"210328_at",9999
"210418_s_at",9999
"210803_at",9999
"211177_s_at",9999
"211560_s_at",9999
"211916_s_at",9999
"212767_at",9999
"213240_s_at",9999
"214399_s_at",9999
"214410_at",9999
"214457_at",9999
"214644_at",9999
"216952_s_at",9999
"219431_at",9999
"220496_at",9999
"220570_at",9999
