"symbol1" "symbol2" "BP"
"ACHE" "CAMK2A" 0.39175
"ACHE" "HAND1" 0.34225
"ACP5" "CD68" 0.0385
"ACTA1" "ACTA2" 0.643
"ACTA1" "ACTN4" 0.3355
"ACTA1" "AKT1" 0.27975
"ACTA1" "ARF1" 0.16225
"ACTA1" "CSK" 0.18525
"ACTA1" "DDOST" 0.11275
"ACTA1" "EEF2" 0.19875
"ACTA1" "EIF4A2" 0.16825
"ACTA1" "EIF5A" 0.1785
"ACTA1" "HSPB1" 0.31375
"ACTA1" "LAMA5" 0.34625
"ACTA1" "PFDN1" NA
"ACTA1" "PGK1" 0.3355
"ACTA1" "RAPSN" 0.04025
"ACTA1" "RPL4" 0.192
"ACTA1" "RPLP0" 0.25125
"ACTA1" "RPLP2" 0.192
"ACTA1" "RPS9" 0.271
"ACTA1" "TMSB4X" 0.3175
"ACTA1" "TNNI1" 0.58325
"ACTA1" "TNNI2" 0.6775
"ACTA1" "TPM2" 0.5435
"ACTA1" "TMSB4Y" 0.33875
"ACTA1" "GSPT2" 0.20625
"ACTA1" "CTNNBL1" 0.2615
"ACTA1" "TUBB" 0.156
"ACTA1" "HIST1H2AA" 0.3435
"ACTA1" "TUBB2B" 0.31075
"ACTA2" "ACTN4" 0.29375
"ACTA2" "KLF6" 0.4845
"ACTA2" "EEF2" 0.3
"ACTA2" "EIF5A" 0.22175
"ACTA2" "HSPB1" 0.39825
"ACTA2" "PGK1" 0.31775
"ACTA2" "RPL4" 0.2495
"ACTA2" "RPL7" 0.25
"ACTA2" "RPLP0" 0.24675
"ACTA2" "RPLP2" 0.2495
"ACTA2" "RPS9" 0.29675
"ACTA2" "RPS23" 0.24475
"ACTA2" "SRF" 0.42825
"ACTA2" "TMSB4X" 0.32275
"ACTA2" "TPM2" 0.32125
"ACTA2" "RPL14" 0.24475
"ACTA2" "ARPC1B" 0.17975
"ACTA2" "GSPT2" 0.2555
"ACTA2" "PYCR2" 0.1895
"ACTA2" "TUBB" 0.1485
"ACTA2" "TUBB2B" 0.23725
"ACTN4" "AP2A1" 0.30775
"ACTN4" "AKT1" 0.421
"ACTN4" "CAMK2A" 0.408
"ACTN4" "CSK" 0.32875
"ACTN4" "CSNK2B" 0.392
"ACTN4" "DNM2" 0.47725
"ACTN4" "EEF2" 0.33375
"ACTN4" "FAU" NA
"ACTN4" "GNB1" 0.25975
"ACTN4" "GNB2" 0.20175
"ACTN4" "MDH2" 0.13
"ACTN4" "MSN" 0.36925
"ACTN4" "MYL6" 0.20975
"ACTN4" "PF4" 0.413
"ACTN4" "PGK1" 0.27025
"ACTN4" "RAB5C" 0.398
"ACTN4" "RPL4" 0.292
"ACTN4" "RPL7" 0.3015
"ACTN4" "RPL8" 0.302
"ACTN4" "RPL27A" 0.292
"ACTN4" "RPLP2" 0.292
"ACTN4" "RPN1" 0.16575
"ACTN4" "SET" 0.3395
"ACTN4" "SPARC" 0.4695
"ACTN4" "TMSB4X" 0.54425
"ACTN4" "TNNI2" 0.31525
"ACTN4" "TNNT3" 0.2515
"ACTN4" "TPM2" 0.27475
"ACTN4" "TSC2" 0.40375
"ACTN4" "VEGFB" 0.43275
"ACTN4" "VWF" 0.333
"ACTN4" "SLC9A3R2" 0.324
"ACTN4" "ARPC1B" 0.29675
"ACTN4" "TRIM3" 0.1455
"ACTN4" "RPL13A" 0.33425
"ACTN4" "TUBB" 0.3155
"ADAR" "EGR1" 0.3835
"ADAR" "IFIT2" 0.45525
"ADAR" "IRF2" 0.57625
"ADAR" "IRF3" 0.45
"ADAR" "IRF7" 0.50025
"ADAR" "NONO" 0.38425
"ADAR" "NPM1" 0.38025
"ADAR" "PCBP1" 0.409
"ADAR" "PSMB4" 0.18325
"ADAR" "RPL11" 0.3585
"ADAR" "RPS2" 0.33
"ADAR" "RPL35" 0.2775
"ADCY1" "FSHR" 0.4495
"ADCY1" "GNAI2" 0.45025
"ADCY1" "GNB2" 0.36225
"ADCY1" "GRM4" 0.454
"ADCY1" "HRAS" 0.3105
"ADCY1" "HTR4" 0.44625
"ADCY1" "NPY" 0.34875
"ADCY1" "SCTR" 0.38125
"ADCY1" "CXCR4" 0.383
"ADCY1" "ADM2" 0.386
"ADCY1" "NPW" 0.35625
"AP2A1" "ARRB2" 0.42975
"AP2A1" "CAMK2A" 0.3465
"AP2A1" "CD22" 0.34925
"AP2A1" "CRK" 0.39775
"AP2A1" "CSNK2B" 0.35
"AP2A1" "DNM2" 0.51925
"AP2A1" "EEF2" 0.30175
"AP2A1" "EIF5A" 0.306
"AP2A1" "HLA-DRB1" 0.27375
"AP2A1" "PPP3CC" 0.10525
"AP2A1" "RAB5B" 0.45175
"AP2A1" "RAB5C" 0.40225
"AP2A1" "RPN1" 0.15475
"AP2A1" "RPS9" 0.31375
"AP2A1" "RAB11B" 0.4305
"AP2A1" "PIP5K1C" 0.447
"AP2A1" "RPL13A" 0.34125
"AP2A1" "BIN2" 0.363
"AP2A1" "EPN3" NA
"AKT1" "ARF1" 0.324
"AKT1" "ARRB2" 0.4985
"AKT1" "BAD" 0.54825
"AKT1" "ZFP36L1" 0.53175
"AKT1" "CAMK2A" 0.4895
"AKT1" "CRK" 0.48
"AKT1" "CSK" 0.349
"AKT1" "DDOST" 0.27925
"AKT1" "EEF2" 0.26325
"AKT1" "EGR1" 0.44525
"AKT1" "EIF4EBP1" 0.2645
"AKT1" "FOXM1" 0.426
"AKT1" "FLII" NA
"AKT1" "GATA2" 0.45875
"AKT1" "GNAI2" 0.356
"AKT1" "GNB2" 0.2045
"AKT1" "GYS1" 0.8755
"AKT1" "HRAS" 0.55325
"AKT1" "HSPB1" 0.54225
"AKT1" "IRF3" 0.404
"AKT1" "ITGA2B" 0.19375
"AKT1" "ITGB4" 0.30625
"AKT1" "MCL1" 0.426
"AKT1" "MEF2D" 0.287
"AKT1" "MSN" 0.4405
"AKT1" "NONO" 0.3495
"AKT1" "NPM1" 0.523
"AKT1" "PCBP1" 0.18125
"AKT1" "SERPINB5" 0.88175
"AKT1" "PLK1" 0.4745
"AKT1" "PPP2R5A" 0.2845
"AKT1" "PSMA7" 0.17025
"AKT1" "PSMB4" 0.17025
"AKT1" "PSMC4" 0.22575
"AKT1" "RPL7" 0.259
"AKT1" "RPS2" 0.2945
"AKT1" "RPS9" 0.31875
"AKT1" "SDHC" 0.224
"AKT1" "SOS1" 0.48625
"AKT1" "ST14" 0.216
"AKT1" "STAT3" 0.5655
"AKT1" "STAT5A" 0.449
"AKT1" "STK11" 0.51625
"AKT1" "TNF" 0.63325
"AKT1" "TPM2" 0.1515
"AKT1" "TSC2" 0.54725
"AKT1" "NCK2" 0.46625
"AKT1" "PIAS1" 0.4115
"AKT1" "KHSRP" 0.35725
"AKT1" "HDAC3" 0.47525
"AKT1" "SPHK1" 0.515
"AKT1" "NUDC" 0.15325
"AKT1" "PLEKHO1" NA
"AKT1" "SYTL1" 0.3945
"AKT1" "RASL10B" 0.197
"AKT1" "TUBB" 0.24425
"ALAS2" "SARDH" 0.1655
"ALAS2" "HBD" 0.3325
"ALAS2" "LSS" 0.26775
"ALAS2" "MDH2" 0.11275
"ALAS2" "NDUFV1" 0.09075
"ALAS2" "FIS1" 0.215
"ALOX5AP" "CD53" 0.22325
"ALOX5AP" "CD68" 0.15075
"ALOX5AP" "HLA-DRB1" 0.207
"ALOX5AP" "PLP2" 0.21275
"ALOX5AP" "S100A6" 0.211
"ALOX5AP" "TBXAS1" 0.4845
"ALOX5AP" "LST1" 0.139
"ALOX5AP" "VAMP8" 0.14
"AMBP" "CD79A" 0.23975
"ANXA5" "EEF2" 0.26475
"ANXA5" "MSN" 0.31625
"ANXA5" "PGK1" 0.27175
"ANXA5" "PPIB" 0.15075
"ANXA5" "CRTAP" 0.13975
"ANXA11" "HLA-DRA" 0.10325
"ANXA11" "S100A6" 0.135
"APLP1" "CPE" 0.213
"APLP1" "VGF" 0.21775
"ARF1" "ASNA1" 0.23175
"ARF1" "CKS1B" 0.10175
"ARF1" "CSNK2B" 0.34075
"ARF1" "CTSL" 0.25425
"ARF1" "DDOST" 0.31975
"ARF1" "DYNC1H1" 0.40125
"ARF1" "EEF1G" 0.198
"ARF1" "EEF2" 0.28125
"ARF1" "EIF4A2" 0.1105
"ARF1" "EIF5A" 0.28175
"ARF1" "FAU" NA
"ARF1" "GNB1" 0.23475
"ARF1" "GNB2" 0.11525
"ARF1" "HLA-DRB1" 0.29475
