"symbol1"	"symbol2"	"BP"
"ABCA4"	"ABCB11"	0.53
"ACADS"	"SAMM50"	0.017
"ALAS2"	"HBD"	0.375
"ALAS2"	"GNMT"	0.249
"ARRB1"	"GNMT"	0.375
"BCS1L"	"SAMM50"	0.844
"CBL"	"CD79B"	0.39
"CDC34"	"FBXL2"	0.676
"CHRM1"	"LAMB2"	0.165
"CHRM1"	"SP1"	0.334
"CHRM1"	"F2RL3"	0.559
"DYNC1I1"	"SPTBN2"	0.721
"DYNC1I1"	"RILP"	0.397
"IDH3B"	"PYCR1"	0.489
"IDH3B"	"SAMM50"	0.016
"IRAK2"	"PELI3"	0.532
"LDLR"	"SNX17"	0.392
"MYO1A"	"RAC3"	0.066
"POU2F1"	"SP1"	0.664
"POU2F1"	"VDR"	0.475
"PYCR1"	"SUPT5H"	0.277
"PYCR1"	"ADSSL1"	0.272
"RAC3"	"NRBP1"	0.318
"RAC3"	"CLEC1B"	0.236
"RAC3"	"PLEKHG5"	0.418
"RAC3"	"ARHGAP10"	0.587
"SPTBN2"	"SPTBN4"	0.63
"SPTBN2"	"RILP"	0.583
"UCHL1"	"HIST1H2BN"	0.446
"HIST1H2AK"	"HIST1H2BN"	0.82
"OR1E1"	"OR1J2"	0.984
"OR1E1"	"OR5C1"	0.99
"LY6D"	"ABCB11"	NA
"MAP3K14"	"PELI3"	0.429
"TXNRD2"	"SAMM50"	0.016
"SLC35D2"	"B3GNT7"	0.85
"OR1J2"	"OR5C1"	0.984
"DGCR8"	"CDT1"	0.278
"PLEKHG5"	"ARHGAP10"	0.604
"CDT1"	"LMNB2"	NA
"DERL3"	"SERINC5"	0.301
