"symbol1" "symbol2" "BP"
"REM1" "GSTZ1" NA
"REM1" "LRRC24" NA
"REM1" "ISLR2" NA
"REM1" "LRRK1" NA
"REM1" "PLEKHG5" NA
"REM1" "LRRC38" NA
"CDC34" "UBE2E3" 0.6
"CDC34" "FBXL2" 0.676
"CDC34" "CBL" 0.504
"CDC34" "UBL4B" 0.091
"CDC34" "ZNRF3" 0.609
"GSTZ1" "EEF1D" 0.369
"GSTZ1" "MPO" 0.265
"PCK2" "CRTC2" 0.435
"PCK2" "RETN" 0.196
"SLC17A7" "GABBR2" 0.234
"AMH" "INHBE" 0.446
"RETN" "SP1" 0.281
"HOXA2" "HIST1H2BN" 0.159
"SNX17" "LDLR" 0.392
"TBX4" "DUX4" 0.239
"ACADS" "TXNRD2" 0.016
"F2RL3" "ARRB1" 0.497
"F2RL3" "AVPR1B" 0.525
"F2RL3" "CHRM1" 0.559
"SHFM1" "FHL2" NA
"SHFM1" "DYNC1I1" NA
"SHFM1" "NFKBIE" NA
"IRAK2" "PELI3" 0.532
"ITIH5" "KIAA1549" NA
"ADAMTS8" "ADAMTS15" NA
"USP37" "UBL4B" 0.1
"USP37" "RHPN1" NA
"DPEP1" "SAMM50" 0.047
"DGCR8" "CDT1" 0.278
"SPTBN4" "SPTBN2" 0.63
"SPTBN4" "DYNC1I1" 0.293
"SPTBN4" "CABP4" 0.305
"CBL" "UBE2E3" 0.245
"CBL" "LDLR" 0.404
"CBL" "ARRB1" 0.583
"CBL" "CD79B" 0.39
"CBL" "CBLC" 0.698
"TRPV5" "TRPM1" 0.551
"TRPV5" "VDR" 0.151
"MAD1L1" "PMF1" 0.524
"MAD1L1" "CENPH" 0.318
"INHBE" "BMPER" 0.533
"INHBE" "TGFB2" 0.406
"ASGR1" "CLEC1B" 0.139
"ASGR1" "ITIH3" 0.55
"CBX4" "HIST1H2BN" 0.198
"NFKBIE" "CARD11" 0.711
"CENPH" "HIST1H2BN" 0.572
"CENPH" "PMF1" 0.023
"UCHL1" "BCS1L" 0.023
"UCHL1" "KRT4" 0.103
"MYO1A" "RAC3" 0.066
"MYO1A" "CABP4" 0.353
"EPB42" "ALAS2" NA
"EPB42" "HBD" NA
"CDT1" "LMNB2" NA
"RILP" "HLA-DRA" 0.383
"RILP" "SPTBN2" 0.583
"RILP" "DYNC1I1" 0.397
"KCNAB3" "KCNH6" 0.977
"RAC3" "PLEKHG5" 0.418
"RAC3" "ARHGAP10" 0.587
"CHRM1" "AVPR1B" 0.451
"CHRM1" "ARRB1" 0.48
"CHRM1" "SP1" 0.334
"CHRM1" "LAMB2" 0.165
"DNAI2" "DYNC1I1" 0.484
"BRSK1" "RIMS2" 0.615
"SPTBN2" "DYNC1I1" 0.721
"SPTBN2" "CABP4" 0.228
"SPTBN2" "HLA-DRA" 0.515
"OR1E1" "ARRB1" 0.219
"DYNC1I1" "HLA-DRA" 0.486
"LPA" "LDLR" 0.366
"FHL2" "SP1" 0.586
"CABP4" "UBL4B" 0.145
"CABP4" "CACNA1E" 0.217
"IGLL1" "CD79B" 0.645
"SP1" "VDR" 0.584
"SP1" "POU2F1" 0.664
"SP1" "NR1H3" 0.488
"HIST1H2AK" "HIST1H2BN" 0.82
"ALAS2" "GNMT" 0.249
"ALAS2" "HBD" 0.375
"UBL4B" "UBE2E3" 0.021
"PDCD1" "HLA-DRA" 0.455
"OR1J2" "ARRB1" 0.984
"SAMM50" "STK32A" 0.024
"TGFB2" "ITIH3" 0.999
"DNTTIP1" "WIBG" NA
"OR5C1" "ARRB1" 0.219
"ZNF593" "MTG1" 0.196
"IDH3B" "TXNRD2" 0.017
"LRRK1" "CARD11" 0.465
"UBE2E3" "ZNRF3" 0.488
"CD79B" "CARD11" 0.54
"HIST1H2BN" "SUPT5H" 0.231
"NR1H3" "LDLR" 0.617
"EEF1D" "SUPT5H" 0.328
"ARRB1" "LDLR" 0.484
"ARRB1" "OR7G1" 0.984
