"symbol1" "symbol2" "CC"
"ABCA4" "ABCB11" 0.554
"ACADS" "SAMM50" 0.6
"ALAS2" "HBD" 0.392
"ALAS2" "GNMT" 0.606
"ARRB1" "GNMT" 1
"BCS1L" "SAMM50" 0.607
"CBL" "CD79B" 0.706
"CDC34" "FBXL2" 0.487
"CHRM1" "LAMB2" 0.209
"CHRM1" "SP1" 0.265
"CHRM1" "F2RL3" 0.76
"DYNC1I1" "SPTBN2" 0.576
"DYNC1I1" "RILP" 0.669
"IDH3B" "PYCR1" 0.948
"IDH3B" "SAMM50" 0.61
"IRAK2" "PELI3" 1
"LDLR" "SNX17" 0.71
"MYO1A" "RAC3" 0.66
"POU2F1" "SP1" 0.742
"POU2F1" "VDR" 0.877
"PYCR1" "SUPT5H" 0.668
"PYCR1" "ADSSL1" 0.566
"RAC3" "NRBP1" 0.638
"RAC3" "CLEC1B" 1
"RAC3" "PLEKHG5" 0.591
"RAC3" "ARHGAP10" 1
"SPTBN2" "SPTBN4" 0.523
"SPTBN2" "RILP" 0.494
"UCHL1" "HIST1H2BN" 0.707
"HIST1H2AK" "HIST1H2BN" 0.797
"OR1E1" "OR1J2" 1
"OR1E1" "OR5C1" 1
"LY6D" "ABCB11" 0.765
"MAP3K14" "PELI3" 1
"TXNRD2" "SAMM50" 0.595
"SLC35D2" "B3GNT7" 0.838
"OR1J2" "OR5C1" 1
"DGCR8" "CDT1" 0.845
"PLEKHG5" "ARHGAP10" 1
"CDT1" "LMNB2" 0.624
"DERL3" "SERINC5" 0.236
