"symbol1"	"symbol2"	"BP"
"ABCA4"	"ABCB11"	0.4685
"ACADS"	"SAMM50"	0.02575
"ALAS2"	"HBD"	0.3325
"ALAS2"	"GNMT"	0.2395
"ARRB1"	"GNMT"	0.365
"BCS1L"	"SAMM50"	0.75325
"CBL"	"CD79B"	0.39775
"CDC34"	"FBXL2"	0.5925
"CHRM1"	"LAMB2"	0.22475
"CHRM1"	"SP1"	0.33825
"CHRM1"	"F2RL3"	0.52975
"DYNC1I1"	"SPTBN2"	0.64825
"DYNC1I1"	"RILP"	0.3615
"IDH3B"	"PYCR1"	0.40675
"IDH3B"	"SAMM50"	0.02475
"IRAK2"	"PELI3"	0.479
"LDLR"	"SNX17"	0.352
"MYO1A"	"RAC3"	0.07525
"POU2F1"	"SP1"	0.5855
"POU2F1"	"VDR"	0.43525
"PYCR1"	"SUPT5H"	0.2555
"PYCR1"	"ADSSL1"	0.251
"RAC3"	"NRBP1"	0.32475
"RAC3"	"CLEC1B"	0.27225
"RAC3"	"PLEKHG5"	0.39725
"RAC3"	"ARHGAP10"	0.5355
"SPTBN2"	"SPTBN4"	0.55175
"SPTBN2"	"RILP"	0.529
"UCHL1"	"HIST1H2BN"	0.4115
"HIST1H2AK"	"HIST1H2BN"	0.7175
"OR1E1"	"OR1J2"	0.83325
"OR1E1"	"OR5C1"	0.84925
"LY6D"	"ABCB11"	NA
"MAP3K14"	"PELI3"	0.3885
"TXNRD2"	"SAMM50"	0.0235
"SLC35D2"	"B3GNT7"	0.77075
"OR1J2"	"OR5C1"	0.83325
"DGCR8"	"CDT1"	0.233
"PLEKHG5"	"ARHGAP10"	0.54775
"CDT1"	"LMNB2"	NA
"DERL3"	"SERINC5"	0.2605
