"node","cluster"
"ACADS",-1
"ALAS2",-1
"AMH",-1
"ARHGAP10",-1
"ARRB1",-1
"ASGR1",-1
"AVPR1B",-1
"BCS1L",-1
"BMPER",-1
"BRSK1",-1
"CABP4",-1
"CACNA1E",-1
"CARD11",-1
"CBL",-1
"CBLC",-1
"CBX4",-1
"CD79B",-1
"CDC34",-1
"CDT1",-1
"CENPH",-1
"CHRM1",-1
"CLEC1B",-1
"CRTC2",-1
"DGCR8",-1
"DNAI2",-1
"DPEP1",-1
"DUX4",-1
"DYNC1I1",-1
"EEF1D",-1
"F2RL3",-1
"FBXL2",-1
"FHL2",-1
"GABBR2",-1
"GNMT",-1
"GSTZ1",-1
"HBD",-1
"HIST1H2AK",-1
"HIST1H2BN",-1
"HLA-DRA",-1
"HOXA2",-1
"IDH3B",-1
"IGLL1",-1
"INHBE",-1
"IRAK2",-1
"ITIH3",-1
"KCNAB3",-1
"KCNH6",-1
"KRT4",-1
"LAMB2",-1
"LDLR",-1
"LPA",-1
"LRRK1",-1
"MAD1L1",-1
"MPO",-1
"MTG1",-1
"MYO1A",-1
"NFKBIE",-1
"NR1H3",-1
"OR1E1",-1
"OR1J2",-1
"OR5C1",-1
"OR7G1",-1
"PCK2",-1
"PDCD1",-1
"PELI3",-1
"PLEKHG5",-1
"PMF1",-1
"POU2F1",-1
"RAC3",-1
"RETN",-1
"RILP",-1
"RIMS2",-1
"SAMM50",-1
"SLC17A7",-1
"SNX17",-1
"SP1",-1
"SPTBN2",-1
"SPTBN4",-1
"STK32A",-1
"SUPT5H",-1
"TBX4",-1
"TGFB2",-1
"TRPM1",-1
"TRPV5",-1
"TXNRD2",-1
"UBE2E3",-1
"UBL4B",-1
"UCHL1",-1
"USP37",-1
"VDR",-1
"ZNF593",-1
"ZNRF3",-1
