"node","cluster"
"F2RL3",1
"CHRM1",1
"AVPR1B",1
"MAD1L1",2
"CENPH",2
"PMF1",2
"EPB42",3
"ALAS2",3
"HBD",3
"RILP",4
"SPTBN2",4
"DYNC1I1",4
"HLA-DRA",4
"OR1E1",5
"OR1J2",5
"OR5C1",5
"ARRB1",5
"OR7G1",5
"SPTBN4",6
"SPTBN2",6
"DYNC1I1",6
"CABP4",6
"AMH",7
"INHBE",7
"BMPER",7
"TGFB2",7
"CBL",8
"ARRB1",8
"LDLR",8
"FHL2",9
"SP1",9
"VDR",9
"POU2F1",9
"NR1H3",9
"MYO1A",10
"RAC3",10
"PLEKHG5",10
"ARHGAP10",10
"HOXA2",11
"CBX4",11
"CENPH",11
"HIST1H2AK",11
"HIST1H2BN",11
"SUPT5H",11
"CDC34",12
"CBL",12
"UBE2E3",12
"ZNRF3",12
"ACADS",9999
"ASGR1",9999
"BCS1L",9999
"BRSK1",9999
"CACNA1E",9999
"CARD11",9999
"CBLC",9999
"CD79B",9999
"CDT1",9999
"CLEC1B",9999
"CRTC2",9999
"DGCR8",9999
"DNAI2",9999
"DPEP1",9999
"EEF1D",9999
"FBXL2",9999
"GABBR2",9999
"GNMT",9999
"GSTZ1",9999
"IDH3B",9999
"IGLL1",9999
"IRAK2",9999
"ISLR2",9999
"ITIH3",9999
"KCNAB3",9999
"KCNH6",9999
"KRT4",9999
"LAMB2",9999
"LMNB2",9999
"LPA",9999
"LRRC24",9999
"LRRC38",9999
"LRRK1",9999
"MPO",9999
"MTG1",9999
"NFKBIE",9999
"PCK2",9999
"PDCD1",9999
"PELI3",9999
"REM1",9999
"RETN",9999
"RHPN1",9999
"RIMS2",9999
"SAMM50",9999
"SLC17A7",9999
"SNX17",9999
"TRPM1",9999
"TRPV5",9999
"TXNRD2",9999
"UCHL1",9999
"USP37",9999
"ZNF593",9999
