"node","cluster"
"REM1",0
"PCK2",0
"SLC17A7",0
"IRAK2",0
"USP37",0
"DPEP1",0
"TRPV5",0
"ASGR1",0
"UCHL1",0
"CDT1",0
"KCNAB3",0
"RAC3",0
"BRSK1",0
"CABP4",0
"SP1",0
"ZNF593",0
"GABBR2",0
"LDLR",0
"TXNRD2",0
"PELI3",0
"RHPN1",0
"SAMM50",0
"CLEC1B",0
"HLA-DRA",0
"KCNH6",0
"RIMS2",0
"MTG1",0
"CDC34",2
"ZNRF3",2
"GSTZ1",3
"LRRC24",3
"ISLR2",3
"LRRC38",3
"SUPT5H",3
"DGCR8",9
"LMNB2",9
"CBL",10
"OR1E1",10
"OR1J2",10
"OR5C1",10
"OR7G1",10
"INHBE",12
"ITIH3",12
"HOXA2",14
"MAD1L1",14
"CBX4",14
"CENPH",14
"HIST1H2AK",14
"PMF1",14
"F2RL3",19
"CHRM1",19
"LAMB2",19
"SPTBN4",21
"RILP",21
"DNAI2",21
"SPTBN2",21
"DYNC1I1",21
"PDCD1",21
"CACNA1E",21
"EPB42",24
"ALAS2",24
"HBD",24
"GNMT",24
"AMH",25
"TGFB2",25
"BMPER",25
"ACADS",27
"IDH3B",27
"UBE2E3",28
"FBXL2",28
"NFKBIE",29
"LRRK1",29
"CD79B",29
"HIST1H2BN",30
"EEF1D",30
"MPO",30
"SNX17",31
"LPA",31
"NR1H3",31
"ARRB1",31
"AVPR1B",31
"CBLC",31
"RETN",32
"CRTC2",32
"FHL2",39
"TRPM1",39
"VDR",39
"POU2F1",39
"IGLL1",41
"CARD11",41
"BCS1L",42
"KRT4",42
"MYO1A",45
"PLEKHG5",45
"ARHGAP10",45
