"node","cluster"
"PCK2",1
"SLC17A7",1
"TBX4",1
"IRAK2",1
"DGCR8",1
"TRPV5",1
"MAD1L1",1
"INHBE",1
"UCHL1",1
"KCNAB3",1
"RAC3",1
"BRSK1",1
"CABP4",1
"SP1",1
"ALAS2",1
"UBL4B",1
"SAMM50",1
"ZNF593",1
"HIST1H2BN",1
"GABBR2",1
"LDLR",1
"DUX4",1
"TXNRD2",1
"PELI3",1
"CDT1",1
"KCNH6",1
"RIMS2",1
"MTG1",1
"CDC34",2
"USP37",2
"UBE2E3",2
"ZNRF3",2
"GSTZ1",3
"SUPT5H",3
"DPEP1",4
"STK32A",4
"CBL",5
"OR1E1",5
"OR1J2",5
"OR5C1",5
"FBXL2",5
"OR7G1",5
"HOXA2",6
"CBX4",6
"CENPH",6
"HIST1H2AK",6
"PMF1",6
"F2RL3",7
"CHRM1",7
"RILP",8
"DNAI2",8
"SPTBN2",8
"DYNC1I1",8
"PDCD1",8
"AMH",9
"ASGR1",9
"TGFB2",9
"BMPER",9
"ACADS",10
"IDH3B",10
"NFKBIE",11
"LRRK1",11
"CD79B",11
"EEF1D",12
"MPO",12
"SNX17",13
"LPA",13
"FHL2",13
"NR1H3",13
"ARRB1",13
"AVPR1B",13
"CBLC",13
"LAMB2",13
"POU2F1",13
"RETN",14
"CRTC2",14
"TRPM1",15
"VDR",15
"CLEC1B",16
"ITIH3",16
"IGLL1",17
"CARD11",17
"BCS1L",18
"KRT4",18
"SPTBN4",19
"MYO1A",19
"HLA-DRA",19
"CACNA1E",19
"PLEKHG5",20
"ARHGAP10",20
"GNMT",21
"HBD",21
