"210082_at"	"208288_at"	0.336
"210082_at"	"211224_s_at"	0.336
"202366_at"	"201569_s_at"	0.034
"202366_at"	"201570_at"	0.034
"211560_s_at"	"206834_at"	0.24
"211560_s_at"	"210328_at"	0.181
"218832_x_at"	"210328_at"	0.182
"221861_at"	"210328_at"	0.182
"43511_s_at"	"210328_at"	0.182
"49111_at"	"210328_at"	0.182
"207618_s_at"	"201569_s_at"	0.51
"207618_s_at"	"201570_at"	0.51
"206607_at"	"205297_s_at"	0.192
"212540_at"	"214436_at"	0.305
"205348_s_at"	"205155_s_at"	0.39
"201509_at"	"202148_s_at"	0.35
"210014_x_at"	"202148_s_at"	0.35
"210418_s_at"	"202148_s_at"	0.35
"201509_at"	"201569_s_at"	0.034
"201509_at"	"201570_at"	0.034
"210014_x_at"	"201569_s_at"	0.034
"210014_x_at"	"201570_at"	0.034
"210418_s_at"	"201569_s_at"	0.034
"210418_s_at"	"201570_at"	0.034
"202067_s_at"	"200991_s_at"	0.24
"202068_s_at"	"200991_s_at"	0.24
"217005_at"	"200991_s_at"	0.24
"217103_at"	"200991_s_at"	0.24
"217173_s_at"	"200991_s_at"	0.24
"211916_s_at"	"206103_at"	0.035
"206789_s_at"	"214732_at"	0.317
"206789_s_at"	"204253_s_at"	0.219
"206789_s_at"	"204254_s_at"	0.219
"206789_s_at"	"204255_s_at"	0.219
"206789_s_at"	"213692_s_at"	0.219
"202148_s_at"	"201480_s_at"	0.188
"206103_at"	"217765_at"	0.147
"206103_at"	"220496_at"	0.112
"206103_at"	"219431_at"	0.273
"205155_s_at"	"220185_at"	0.308
"201387_s_at"	"207226_at"	0.216
"214644_at"	"207226_at"	0.373
"210803_at"	"201569_s_at"	0.029
"210803_at"	"201570_at"	0.029
"211177_s_at"	"201569_s_at"	0.029
"211177_s_at"	"201570_at"	0.029
